location,Bed,Bath,Ft,price
Alaska,4.0,4.0,4594.0,1299000.0
Alaska,1.0,0.5,450.0,145000.0
Alaska,5.0,3.0,2976.0,2050000.0
Alaska,1.0,1.0,1100.0,285000.0
Alaska,1.0,1.0,893.0,175000.0
Alaska,3.0,2.0,1256.0,324900.0
Alaska,3.0,1.0,480.0,110000.0
Alaska,6.0,3.5,2592.0,650000.0
Alaska,2.0,2.0,1048.0,349000.0
Alaska,3.0,2.0,1374.0,729000.0
Alaska,2.0,1.0,888.0,160000.0
Alaska,11.0,11.0,11529.0,849000.0
Alaska,3.0,2.5,2255.0,599000.0
Alaska,2.0,2.0,1200.0,399900.0
Alaska,3.0,2.0,1863.0,424000.0
Alaska,4.0,2.5,2800.0,795000.0
Alaska,4.0,2.0,1896.0,295000.0
Alaska,4.0,3.5,3200.0,699000.0
Alaska,3.0,2.0,2454.0,597000.0
Alaska,3.0,3.5,2150.0,1200000.0
Alaska,4.0,2.0,1836.0,455000.0
Alaska,3.0,2.5,2420.0,645000.0
Alaska,4.0,4.0,3614.0,674000.0
Alaska,5.0,4.0,4641.0,1795000.0
Alaska,3.0,2.0,1312.0,435000.0
Alaska,3.0,2.0,1440.0,390000.0
Alaska,4.0,2.0,2288.0,1100000.0
Alaska,3.0,2.5,1920.0,675000.0
Alaska,4.0,2.0,2288.0,675000.0
Alaska,5.0,3.5,2677.0,470000.0
Alaska,3.0,4.0,3362.0,614900.0
Alaska,3.0,1.5,1424.0,750000.0
Alaska,2.0,2.5,2016.0,499900.0
Alaska,7.0,4.0,2256.0,725000.0
Alaska,3.0,2.5,1700.0,450000.0
Alaska,5.0,4.0,3384.0,535000.0
Alaska,3.0,2.0,3240.0,1100000.0
Alaska,1.0,,288.0,108000.0
Alaska,12.0,11.0,12000.0,3300000.0
Alaska,4.0,2.0,1824.0,449500.0
Alaska,1.0,,252.0,70000.0
Alaska,1.0,0.5,750.0,285000.0
Alaska,1.0,,456.0,85000.0
Alaska,6.0,2.5,2898.0,735000.0
Alaska,4.0,6.0,4353.0,1180000.0
Alaska,2.0,3.0,2964.0,940000.0
Alaska,3.0,2.0,1568.0,294000.0
Alaska,2.0,1.0,1192.0,170000.0
Alaska,4.0,3.0,2550.0,699000.0
Alaska,8.0,5.0,5840.0,1550000.0
Alaska,3.0,2.0,960.0,278250.0
Alaska,5.0,3.5,4593.0,679900.0
Alaska,3.0,2.0,1856.0,375000.0
Alaska,4.0,2.5,2445.0,350000.0
Alaska,1.0,1.0,576.0,194750.0
Alaska,3.0,2.5,3158.0,399900.0
Alaska,2.0,1.0,672.0,129900.0
Alaska,3.0,2.0,1740.0,375000.0
Alaska,4.0,3.0,1868.0,355000.0
Alaska,3.0,2.0,1680.0,430000.0
Alaska,6.0,5.0,4500.0,275000.0
Alaska,4.0,3.0,2880.0,865000.0
Alaska,3.0,2.0,1956.0,315000.0
Alaska,3.0,2.0,2135.0,989000.0
Alaska,3.0,1.5,1856.0,360000.0
Alaska,3.0,2.0,2004.0,449900.0
Alaska,5.0,3.5,3000.0,715000.0
Alaska,4.0,2.0,2279.0,665000.0
Alaska,3.0,1.0,1032.0,349500.0
Alaska,3.0,2.5,2199.0,585000.0
Alaska,2.0,1.0,1260.0,225900.0
Alaska,3.0,2.0,2100.0,535000.0
Alaska,2.0,1.0,1578.0,249900.0
Alaska,5.0,3.5,3202.0,695000.0
Alaska,3.0,4.5,2936.0,925000.0
Alaska,3.0,2.5,2328.0,649900.0
Alaska,3.0,1.5,1406.0,325000.0
Alaska,3.0,2.0,1374.0,659000.0
Alaska,3.0,4.0,7410.0,995000.0
Alaska,4.0,2.0,1588.0,490000.0
Alaska,3.0,2.0,1485.0,410000.0
Alaska,5.0,3.0,2514.0,525000.0
Alaska,2.0,2.0,1192.0,304900.0
Alaska,3.0,3.0,2798.0,698000.0
Alaska,4.0,3.5,3924.0,899000.0
Alaska,4.0,2.0,2690.0,595000.0
Alaska,2.0,2.5,2405.0,820000.0
Alaska,4.0,2.5,1960.0,399900.0
Alaska,3.0,2.0,1636.0,435000.0
Alaska,4.0,2.0,2240.0,399000.0
Alaska,2.0,1.0,1008.0,94900.0
Alaska,3.0,2.0,1784.0,539000.0
Alaska,5.0,4.0,4000.0,699000.0
Alaska,,,234.0,165000.0
Alaska,6.0,3.5,4673.0,1950000.0
Alaska,4.0,2.0,2040.0,585000.0
Alaska,4.0,2.5,2172.0,710000.0
Alaska,3.0,2.5,1816.0,379900.0
Alaska,3.0,1.0,960.0,270000.0
Alaska,3.0,3.5,3358.0,1100000.0
Alaska,3.0,2.0,1629.0,382500.0
Alaska,5.0,3.5,2763.0,619000.0
Alaska,3.0,2.0,1969.0,615000.0
Alaska,2.0,2.5,1342.0,385000.0
Alaska,3.0,2.0,2068.0,499000.0
